categorycode,purchaseitem,isactive,itemcode,itemid,pdesc,meas1,eqnum,meas2,ucost,reorder,remarks,onhand,id
0001,1,1,,P00047,Monoseal 90X80X6,pcs,1.00,pcs,0.00,0.00,,0,47
0001,1,1,,P00048,Oil Seal 45X25X11,pcs,1.00,pcs,0.00,0.00,,0,48
0001,1,1,,P00049,Oil Seal Tc 110X85X12,pcs,1.00,pcs,0.00,0.00,,0,49
0001,1,1,,P00050,Oring 2.62X17.86,pcs,1.00,pcs,0.00,0.00,,0,50
0001,1,1,,P00051,Oring 3X13,pcs,1.00,pcs,0.00,0.00,,0,51
0001,1,1,,P00052,Oring 3X85,pcs,1.00,pcs,0.00,0.00,,0,52
0001,1,1,,P00053,Oring 40X34X3Mm,pcs,1.00,pcs,0.00,0.00,,0,53
0001,1,1,,P00054,Oring 4X93,pcs,1.00,pcs,0.00,0.00,,0,54
0001,1,1,,P00055,Oring 5.33X101.6,pcs,1.00,pcs,0.00,0.00,,0,55
0001,1,1,,P00056,Oring 5.33X111.13,pcs,1.00,pcs,0.00,0.00,,0,56
0001,1,1,,P00057,Oring 5X205,pcs,1.00,pcs,0.00,0.00,,0,57
0001,1,1,,P00058,Oring 5X205 NBR70 GAPI-ITA,pcs,1.00,pcs,0.00,0.00,,0,58
0001,1,1,,P00059,"Output Relay, 17D198086",pcs,1.00,pcs,0.00,0.00,,0,59
0001,1,1,,P00060,"Photo Electric Sensor, BEN300-DDT",pcs,1.00,pcs,0.00,0.00,,0,60
0001,1,1,,P00061,"Proximity Switch, PSE 17-5DN",pcs,1.00,pcs,0.00,0.00,,0,61
0001,1,1,,P00062,"Pump Motor, Hydraulic,  Secondary, 2.2Kw, 3Hp, 220V, 3P-4Poles- 60Hz-1430/1725Rpm",pcs,1.00,pcs,0.00,0.00,,0,62
0001,1,1,,P00063,"Pump Motor, Hydraulic, Main,  15Kw, 20Hp, 220V, 3P- 60Hz-1760Rpm",pcs,1.00,pcs,0.00,0.00,,0,63
0001,1,1,,P00064,"Pump Motor, Hydraulic, Wall Thickness, 3.75Kw, 5Hp, 220/380V, 3P-50/60Hz-1430/1730Rpm",pcs,1.00,pcs,0.00,0.00,,0,64
0001,1,1,,P00065,Push Button Switch,pcs,1.00,pcs,0.00,0.00,,0,65
0001,1,1,,P00066,"Push In Fittings, SPC 10-02",pcs,1.00,pcs,0.00,0.00,,0,66
0001,1,1,,P00067,"Push In Fittings, SPC 12-01",pcs,1.00,pcs,0.00,0.00,,0,67
0001,1,1,,P00068,"Push In Fittings, SPL 10-01",pcs,1.00,pcs,0.00,0.00,,0,68
0001,1,1,,P00069,"Push In Fittings, TEE 12",pcs,1.00,pcs,0.00,0.00,,0,69
0001,1,1,,P00070,"Schneider Electric Contactor, LC1 E09 10",pcs,1.00,pcs,0.00,0.00,,0,70
0001,1,1,,P00071,"Solenoid Valve, NP13-25A-12C-3",pcs,1.00,pcs,0.00,0.00,,0,71
0001,1,1,,P00072,"Solenoid Valve, SVK 1220 ",pcs,1.00,pcs,0.00,0.00,,0,72
0001,1,1,,P00073,"Solenoid Valve, VP342 -5GD1-02A",pcs,1.00,pcs,0.00,0.00,,0,73
0001,1,1,,P00074,"Solid State Relay, SSR-40DA",pcs,1.00,pcs,0.00,0.00,,0,74
0001,1,1,,P00075,"Solid State Relay, SSR-80DA",pcs,1.00,pcs,0.00,0.00,,0,75
0001,1,1,,P00076,Wiferflex 110X100X6/8 PU Hallite DH,pcs,1.00,pcs,0.00,0.00,,0,76
0001,1,1,,P00077,Wiferflex 153X140X7/9.5,pcs,1.00,pcs,0.00,0.00,,0,77
0001,1,1,,P00078,Wiferflex 153X140X7/9.5,pcs,1.00,pcs,0.00,0.00,,0,78
0001,1,1,,P00079,Wiferflex 153X140X7/9.5 NBR FAB LBH,pcs,1.00,pcs,0.00,0.00,,0,79
0001,1,1,,P00080,Wiferflex 90X80X6/8,pcs,1.00,pcs,0.00,0.00,,0,80
0002,1,1,,P00081,2P40A Switch (Miniature Breaker) DZ47-63 C40,pcs,1.00,pcs,0.00,0.00,,0,81
0002,1,1,,P00082,2P6A Switch (Miniature Breaker) DZ47-63 C10,pcs,1.00,pcs,0.00,0.00,,0,82
0002,1,1,,P00083,2P6A Switch (Miniature Breaker) DZ47-63 C6,pcs,1.00,pcs,0.00,0.00,,0,83
0002,1,1,,P00084,Air Cylinder 100X150,pcs,1.00,pcs,0.00,0.00,,0,84
0002,1,1,,P00085,Air Cylinder 25X25,pcs,1.00,pcs,0.00,0.00,,0,85
0002,1,1,,P00086,Air Cylinder 32X150,pcs,1.00,pcs,0.00,0.00,,0,86
0002,1,1,,P00087,Air Cylinder 32X25 ,pcs,1.00,pcs,0.00,0.00,,0,87
0002,1,1,,P00088,Air Cylinder 63X600,pcs,1.00,pcs,0.00,0.00,,0,88
0002,1,1,,P00089,Air Cylinder 8DAU32125,pcs,1.00,pcs,0.00,0.00,,0,89
0002,1,1,,P00090,Air Cylinder 8DAU32150,pcs,1.00,pcs,0.00,0.00,,0,90
0002,1,1,,P00091,Air Cylinder 8DAU32175 ,pcs,1.00,pcs,0.00,0.00,,0,91
0002,1,1,,P00092,Air Cylinder 8FDA2525X,pcs,1.00,pcs,0.00,0.00,,0,92
0002,1,1,,P00093,Air Cylinder JD5030S,pcs,1.00,pcs,0.00,0.00,,0,93
0002,1,1,,P00094,Air Cylinder SC ZGXCL 40X30 ,pcs,1.00,pcs,0.00,0.00,,0,94
0002,1,1,,P00095,Air Cylinder SC32X150,pcs,1.00,pcs,0.00,0.00,,0,95
0002,1,1,,P00096,Air Cylinder SDA 20X30,pcs,1.00,pcs,0.00,0.00,,0,96
0002,1,1,,P00097,Air Cylinder SDA 32X20,pcs,1.00,pcs,0.00,0.00,,0,97
0002,1,1,,P00098,Air Cylinder TSDA 50X15-B,pcs,1.00,pcs,0.00,0.00,,0,98
0002,1,1,,P00099,Air Filter Regulator AR2000-02,pcs,1.00,pcs,0.00,0.00,,0,99
0002,1,1,,P00100,"Air Filter Regulator Lubricator Combination Cylinder, AW3000-03 and AL3000-03",pcs,1.00,pcs,0.00,0.00,,0,100
0002,1,1,,P00101,Air Shaft Nozzle,pcs,1.00,pcs,0.00,0.00,,0,101
0002,1,1,,P00102,Allen Bolt 10X80,pcs,1.00,pcs,0.00,0.00,,0,102
0002,1,1,,P00103,Allen  Bolt 10X90,pcs,1.00,pcs,0.00,0.00,,0,103
0002,1,1,,P00104,Allen  Bolt 6X20,pcs,1.00,pcs,0.00,0.00,,0,104
0002,1,1,,P00105,Allen Bolt 18X75,pcs,1.00,pcs,0.00,0.00,,0,105
0002,1,1,,P00106,Anti Static Device ,pcs,1.00,pcs,0.00,0.00,,0,106
0002,1,1,,P00107,Anti Static Tube,pcs,1.00,pcs,0.00,0.00,,0,107
0002,1,1,,P00108,Automatic Proximity Switch PSE 17-5DN,pcs,1.00,pcs,0.00,0.00,,0,108
0002,1,1,,P00109,Bamboo Curtain 30Cm,pcs,1.00,pcs,0.00,0.00,,0,109
0002,1,1,,P00110,Bamboo Curtain 42Cm,pcs,1.00,pcs,0.00,0.00,,0,110
0002,1,1,,P00111,Bearing 1203,pcs,1.00,pcs,0.00,0.00,,0,111
0002,1,1,,P00112,Bearing 1204,pcs,1.00,pcs,0.00,0.00,,0,112
0002,1,1,,P00113,Bearing 1205,pcs,1.00,pcs,0.00,0.00,,0,113
0002,1,1,,P00114,Bearing 6001,pcs,1.00,pcs,0.00,0.00,,0,114
0002,1,1,,P00115,Bearing 6004,pcs,1.00,pcs,0.00,0.00,,0,115
0002,1,1,,P00116,Bearing 6005,pcs,1.00,pcs,0.00,0.00,,0,116
0002,1,1,,P00117,Bearing 6024,pcs,1.00,pcs,0.00,0.00,,0,117
0002,1,1,,P00118,Bearing 6203,pcs,1.00,pcs,0.00,0.00,,0,118
0002,1,1,,P00119,Bearing 6204,pcs,1.00,pcs,0.00,0.00,,0,119
0002,1,1,,P00120,Bearing 6303,pcs,1.00,pcs,0.00,0.00,,0,120
0002,1,1,,P00121,Bearing 6306,pcs,1.00,pcs,0.00,0.00,,0,121
0002,1,1,,P00122,Bearing 6311,pcs,1.00,pcs,0.00,0.00,,0,122
0002,1,1,,P00123,Bearing 6904,pcs,1.00,pcs,0.00,0.00,,0,123
0002,1,1,,P00124,Bearing CSK-25,pcs,1.00,pcs,0.00,0.00,,0,124
0002,1,1,,P00125,Bearing CSK-356218,pcs,1.00,pcs,0.00,0.00,,0,125
0002,1,1,,P00126,Bearing NK-130,pcs,1.00,pcs,0.00,0.00,,0,126
0002,1,1,,P00127,Belt 510L (Timing Belt Width: 25Mm),pcs,1.00,pcs,0.00,0.00,,0,127
0002,1,1,,P00128,"Belt 8M-25-6500 ""White""",pcs,1.00,pcs,0.00,0.00,,0,128
0002,1,1,,P00129,"Belt 8M-6500-30""White"" ",pcs,1.00,pcs,0.00,0.00,,0,129
0002,1,1,,P00130,Belt A39 Bando,pcs,1.00,pcs,0.00,0.00,,0,130
0002,1,1,,P00131,Belt A42 Bando,pcs,1.00,pcs,0.00,0.00,,0,131
0002,1,1,,P00132,Belt A43 Bando,pcs,1.00,pcs,0.00,0.00,,0,132
0002,1,1,,P00133,Belt A44 Bando,pcs,1.00,pcs,0.00,0.00,,0,133
0002,1,1,,P00134,Belt A45 Bando,pcs,1.00,pcs,0.00,0.00,,0,134
0002,1,1,,P00135,Belt A53 Bando,pcs,1.00,pcs,0.00,0.00,,0,135
0002,1,1,,P00136,Belt B37 Bando,pcs,1.00,pcs,0.00,0.00,,0,136
0002,1,1,,P00137,Belt B42 Bando,pcs,1.00,pcs,0.00,0.00,,0,137
0002,1,1,,P00138,Belt B63 Bando,pcs,1.00,pcs,0.00,0.00,,0,138
0002,1,1,,P00139,Belt B65 Bando,pcs,1.00,pcs,0.00,0.00,,0,139
0002,1,1,,P00140,Belt C32 Bando,pcs,1.00,pcs,0.00,0.00,,0,140
0002,1,1,,P00141,Belt HTD 1200-8M,pcs,1.00,pcs,0.00,0.00,,0,141
0002,1,1,,P00142,Belt HTD1000-8M,pcs,1.00,pcs,0.00,0.00,,0,142
0002,1,1,,P00143,Belt HTD1288-14M,pcs,1.00,pcs,0.00,0.00,,0,143
0002,1,1,,P00144,Belt HTD592-8M,pcs,1.00,pcs,0.00,0.00,,0,144
0002,1,1,,P00145,Belt HTD880-8M,pcs,1.00,pcs,0.00,0.00,,0,145
0002,1,1,,P00146,Bi Welding TEE 6,pcs,1.00,pcs,0.00,0.00,,0,146
0002,1,1,,P00147,"Black Aluminium Nylon Brush Strip 19""",pcs,1.00,pcs,0.00,0.00,,0,147
0002,1,1,,P00148,Button  Switch KCD4 15/30A 250V,pcs,1.00,pcs,0.00,0.00,,0,148
0002,1,1,,P00149,"Chopping Board, 22Cm Small",pcs,1.00,pcs,0.00,0.00,,0,149
0002,1,1,,P00150,"Chopping Board,40Cm/405Mmx15Mm Big",pcs,1.00,pcs,0.00,0.00,,0,150
0002,1,1,,P00151,Cold Cutter 6Cmx.73M,pcs,1.00,pcs,0.00,0.00,,0,151
0002,1,1,,P00152,Computer Punching Panel ,pcs,1.00,pcs,0.00,0.00,,0,152
0002,1,1,,P00153,Copper Billet,pcs,1.00,pcs,0.00,0.00,,0,153
0002,1,1,,P00154,Cross Flow Fan,pcs,1.00,pcs,0.00,0.00,,0,154
0002,1,1,,P00155,Cross Flow Fan Motor CYF-06043/220V/45W/0.3A,pcs,1.00,pcs,0.00,0.00,,0,155
0002,1,1,,P00156,Cutter Main Rubber Roller 76Cm Green,pcs,1.00,pcs,0.00,0.00,,0,156
0002,1,1,,P00157,Cylinder WWX-63-150-15E-3T,pcs,1.00,pcs,0.00,0.00,,0,157
0002,1,1,,P00158,Die Cutter Large 170X170,pcs,1.00,pcs,0.00,0.00,,0,158
0002,1,1,,P00159,Die Cutter Medium 170X170,pcs,1.00,pcs,0.00,0.00,,0,159
0002,1,1,,P00160,Die Cutter Micro,pcs,1.00,pcs,0.00,0.00,,0,160
0002,1,1,,P00161,Die Cutter Mini,pcs,1.00,pcs,0.00,0.00,,0,161
0002,1,1,,P00162,Die Cutter Tiny,pcs,1.00,pcs,0.00,0.00,,0,162
0002,1,1,,P00163,Die Cutter X-Large,pcs,1.00,pcs,0.00,0.00,,0,163
0002,1,1,,P00164,DMSJ-20 Solid State Sensor 35.5Diameter,pcs,1.00,pcs,0.00,0.00,,0,164
0002,1,1,,P00165,Emergency Stop Button,pcs,1.00,pcs,0.00,0.00,,0,165
0002,1,1,,P00166,Excellence Electronic Speed Switch,pcs,1.00,pcs,0.00,0.00,,0,166
0002,1,1,,P00167,Gear Motor Magnetic Powder Brake FZ50A-1,pcs,1.00,pcs,0.00,0.00,,0,167
0002,1,1,,P00168,General Purpose Relay Idec RJIS CL-D24,pcs,1.00,pcs,0.00,0.00,,0,168
0002,1,1,,P00169,General Purpose Relay JQV-13FL  Cygkcn,pcs,1.00,pcs,0.00,0.00,,0,169
0002,1,1,,P00170,General Purpose Relay JQX-13F (D),pcs,1.00,pcs,0.00,0.00,,0,170
0002,1,1,,P00171,General Purpose Relay JZX-22F (D)2Z,pcs,1.00,pcs,0.00,0.00,,0,171
0002,1,1,,P00172,Hand Lever Valve  KMEPC 4Hv230-08,pcs,1.00,pcs,0.00,0.00,,0,172
0002,1,1,,P00173,Heat Bend Spring Silver 15X60,pcs,1.00,pcs,0.00,0.00,,0,173
0002,1,1,,P00174,Heat Bend Spring Yellow 20X30,pcs,1.00,pcs,0.00,0.00,,0,174
0002,1,1,,P00175,Heat Bend Spring Yellow 20X70,pcs,1.00,pcs,0.00,0.00,,0,175
0002,1,1,,P00176,Heat Bend Spring Yellow 25X80,pcs,1.00,pcs,0.00,0.00,,0,176
0002,1,1,,P00177,Heat Spring Silver 20X80,pcs,1.00,pcs,0.00,0.00,,0,177
0002,1,1,,P00178,Heater 1200X28 110V 1500W Rectangular,pcs,1.00,pcs,0.00,0.00,,0,178
0002,1,1,,P00179,Heater 12X140 220V 350W Cartridge,pcs,1.00,pcs,0.00,0.00,,0,179
0002,1,1,,P00180,Heater 12X40 220V 150W  Cartridge ,pcs,1.00,pcs,0.00,0.00,,0,180
0002,1,1,,P00181,Heater 12X615 220V 1200W  Cartridge,pcs,1.00,pcs,0.00,0.00,,0,181
0002,1,1,,P00182,Heater 12X615 Gfq-600,pcs,1.00,pcs,0.00,0.00,,0,182
0002,1,1,,P00183,Heater 15.8X435 220V 2400W Cartridge,pcs,1.00,pcs,0.00,0.00,,0,183
0002,1,1,,P00184,Heater 15.8X470 220V 2000W Cartridge,pcs,1.00,pcs,0.00,0.00,,0,184
0002,1,1,,P00185,Heater 15.8X500 220V 2400W Cartridge ,pcs,1.00,pcs,0.00,0.00,,0,185
0002,1,1,,P00186,Heater 15.8X780 220V 3500W Cartridge,pcs,1.00,pcs,0.00,0.00,,0,186
0002,1,1,,P00187,Heater 220V 100W 17/11,pcs,1.00,pcs,0.00,0.00,,0,187
0002,1,1,,P00188,Heater 420X30 110V 2100W Rectangular,pcs,1.00,pcs,0.00,0.00,,0,188
0002,1,1,,P00189,Heater 430X20 110V 600W,pcs,1.00,pcs,0.00,0.00,,0,189
0002,1,1,,P00190,Heater 8X50 220V 100W Cartridge,pcs,1.00,pcs,0.00,0.00,,0,190
0002,1,1,,P00191,Intelligent Speed Controller XC0972012,pcs,1.00,pcs,0.00,0.00,,0,191
0002,1,1,,P00192,Inverter GD20-1R5G-S2 Power Output:1.5Kw,pcs,1.00,pcs,0.00,0.00,,0,192
0002,1,1,,P00193,Magic Eye (Reed Switch) CMSG-020,pcs,1.00,pcs,0.00,0.00,,0,193
0002,1,1,,P00194,Magic Eye (Sick Optex Sensor) Crd-300N,pcs,1.00,pcs,0.00,0.00,,0,194
0002,1,1,,P00195,Maong For Cuter Weights,pcs,1.00,pcs,0.00,0.00,,0,195
0002,1,1,,P00196,Nitoflon 0.08X13X10 Red,pcs,1.00,pcs,0.00,0.00,,0,196
0002,1,1,,P00197,Nitoflon 0.13X13X10 Green,pcs,1.00,pcs,0.00,0.00,,0,197
0002,1,1,,P00198,Photo Electric Sensor HP7-P11 Light On,pcs,1.00,pcs,0.00,0.00,,0,198
0002,1,1,,P00199,Photoelectric Sensor  Ketai Z3J-DS-50E3,pcs,1.00,pcs,0.00,0.00,,0,199
0002,1,1,,P00200,"Pneumatic Metal Connector, JSC 8-03",pcs,1.00,pcs,0.00,0.00,,0,200
0002,1,1,,P00201,Potentiometer 4.7K WXD3-13,pcs,1.00,pcs,0.00,0.00,,0,201
0002,1,1,,P00202,Power Supply 24Volts,pcs,1.00,pcs,0.00,0.00,,0,202
0002,1,1,,P00203,Power Supply 48 Volts,pcs,1.00,pcs,0.00,0.00,,0,203
0002,1,1,,P00204,Proximity Sensor Pl*05N Red,pcs,1.00,pcs,0.00,0.00,,0,204
0002,1,1,,P00205,Proximity Sensork M12-04N Red,pcs,1.00,pcs,0.00,0.00,,0,205
0002,1,1,,P00206,Proximity Switch KL-05N,pcs,1.00,pcs,0.00,0.00,,0,206
0002,1,1,,P00207,Push Button Green (Normally Open),pcs,1.00,pcs,0.00,0.00,,0,207
0002,1,1,,P00208,Push Button Red (Normally Close),pcs,1.00,pcs,0.00,0.00,,0,208
0002,1,1,,P00209,Push Button Yellow (Forward Reverse),pcs,1.00,pcs,0.00,0.00,,0,209
0002,1,1,,P00210,Robotic Arm -0 3.5 Diameter,pcs,1.00,pcs,0.00,0.00,,0,210
0002,1,1,,P00211,Rod Silver .60Mx13mm,pcs,1.00,pcs,0.00,0.00,,0,211
0002,1,1,,P00212,Rod Silver 38Cmx13mm,pcs,1.00,pcs,0.00,0.00,,0,212
0002,1,1,,P00213,Rubber For Robotic Arm,pcs,1.00,pcs,0.00,0.00,,0,213
0002,1,1,,P00214,Rubber Guide -Oil,pcs,1.00,pcs,0.00,0.00,,0,214
0002,1,1,,P00215,Rubber Roller 50Cm ,pcs,1.00,pcs,0.00,0.00,,0,215
0002,1,1,,P00216,Sealing Bar 50Cmx7Cm,pcs,1.00,pcs,0.00,0.00,,0,216
0002,1,1,,P00217,Sealing Bar 78Cmx7Cm,pcs,1.00,pcs,0.00,0.00,,0,217
0002,1,1,,P00218,"Sealing Cutter Thin Blade/Perfiration Blade  L.39.7, W.3.0,Thickness:3mm",pcs,1.00,pcs,0.00,0.00,,0,218
0002,1,1,,P00219,Sensor CS1Uo20,pcs,1.00,pcs,0.00,0.00,,0,219
0002,1,1,,P00220,Sensor YK-500 2A 20Mm ,pcs,1.00,pcs,0.00,0.00,,0,220
0002,1,1,,P00221,Servo Motor MS 1H1-75B30Cb 0.75Kw 220V 3000R/Min 2.39N.M 250Hz 4.8A Motor Code:14101 Sn:011108344N503253,pcs,1.00,pcs,0.00,0.00,,0,221
0002,1,1,,P00222,Servo Motor SGD7S-200 A00 B202,pcs,1.00,pcs,0.00,0.00,,0,222
0002,1,1,,P00223,Silicon Rubber,pcs,1.00,pcs,0.00,0.00,,0,223
0002,1,1,,P00224,"Silicon Rubber /Squeeze Rubber 17""X45Mmx8mm",pcs,1.00,pcs,0.00,0.00,,0,224
0002,1,1,,P00225,"Silicon Rubber 17"" Rollbag",pcs,1.00,pcs,0.00,0.00,,0,225
0002,1,1,,P00226,Slide Bearing 30UU,pcs,1.00,pcs,0.00,0.00,,0,226
0002,1,1,,P00227,Solenoid Valve 4V210-08,pcs,1.00,pcs,0.00,0.00,,0,227
0002,1,1,,P00228,Solenoid Valve SW-6102,pcs,1.00,pcs,0.00,0.00,,0,228
0002,1,1,,P00229,Solid State Module KSR 25DA,pcs,1.00,pcs,0.00,0.00,,0,229
0002,1,1,,P00230,Solid State Module KSR-40 VA,pcs,1.00,pcs,0.00,0.00,,0,230
0002,1,1,,P00231,Solid State Relay KSR-40 DAE,pcs,1.00,pcs,0.00,0.00,,0,231
0002,1,1,,P00232,Solid State Relay SSR-25DA,pcs,1.00,pcs,0.00,0.00,,0,232
0002,1,1,,P00233,Solid State Relay SSR-40,pcs,1.00,pcs,0.00,0.00,,0,233
0002,1,1,,P00234,Solid State Relay SSR-40DA,pcs,1.00,pcs,0.00,0.00,,0,234
0002,1,1,,P00235,Solid State Relay SSR-80DA,pcs,1.00,pcs,0.00,0.00,,0,235
0002,1,1,,P00236,Solid State Relay SSVR XMD-R40A,pcs,1.00,pcs,0.00,0.00,,0,236
0002,1,1,,P00237,Spc Fittings 6-02,pcs,1.00,pcs,0.00,0.00,,0,237
0002,1,1,,P00238,Speed Control Motor 5GU-60-RGU-CF ,pcs,1.00,pcs,0.00,0.00,,0,238
0002,1,1,,P00239,Speed Controller,pcs,1.00,pcs,0.00,0.00,,0,239
0002,1,1,,P00240,Tamper Guide  Circle,pcs,1.00,pcs,0.00,0.00,,0,240
0002,1,1,,P00241,Tamper Guide Rod,pcs,1.00,pcs,0.00,0.00,,0,241
0002,1,1,,P00242,Teflon Cloth,pcs,1.00,pcs,0.00,0.00,,0,242
0002,1,1,,P00243,Temperature Control 1912-6348 ETC-20-V,pcs,1.00,pcs,0.00,0.00,,0,243
0002,1,1,,P00244,Temperature Controller 100-240 VAC,pcs,1.00,pcs,0.00,0.00,,0,244
0002,1,1,,P00245,Temperature Controller ETC-20 SSR 30MA,pcs,1.00,pcs,0.00,0.00,,0,245
0002,1,1,,P00246,Terminal Block 10P 20A 500V,pcs,1.00,pcs,0.00,0.00,,0,246
0002,1,1,,P00247,Terminal Block 4P 25A 600V,pcs,1.00,pcs,0.00,0.00,,0,247
0002,1,1,,P00248,Thermocouple 20CMK SS Insulation,pcs,1.00,pcs,0.00,0.00,,0,248
0002,1,1,,P00249,Thermocouple 2MK WRN-02 Cloth Insulation,pcs,1.00,pcs,0.00,0.00,,0,249
0002,1,1,,P00250,Thermocouple WRN-01 5000mm W/O Cloth Insulation,pcs,1.00,pcs,0.00,0.00,,0,250
0002,1,1,,P00251,Thermocouple WRN-M6 4000mm W/O Cloth Insulation,pcs,1.00,pcs,0.00,0.00,,0,251
0002,1,1,,P00252,Torque Motor/Speed Control Motor 5RK120Gn-SFM 10 5GU-120-K 120W 0.70A 1550R/min,pcs,1.00,pcs,0.00,0.00,,0,252
0002,1,1,,P00253,Wood With Bearing Lme12UU,pcs,1.00,pcs,0.00,0.00,,0,253
